# S_30, height <= 30
# 5604 partitions, 5604 classes
0	(30,)
1	(29, 1)
2	(28, 2)
3	(28, 1, 1)
4	(27, 3)
5	(27, 2, 1)
6	(27, 1, 1, 1)
7	(26, 4)
8	(26, 3, 1)
9	(26, 2, 2)
10	(26, 2, 1, 1)
11	(26, 1, 1, 1, 1)
12	(25, 5)
13	(25, 4, 1)
14	(25, 3, 2)
15	(25, 3, 1, 1)
16	(25, 2, 2, 1)
17	(25, 2, 1, 1, 1)
18	(25, 1, 1, 1, 1, 1)
19	(24, 6)
20	(24, 5, 1)
21	(24, 4, 2)
22	(24, 4, 1, 1)
23	(24, 3, 3)
24	(24, 3, 2, 1)
25	(24, 3, 1, 1, 1)
26	(24, 2, 2, 2)
27	(24, 2, 2, 1, 1)
28	(24, 2, 1, 1, 1, 1)
29	(24, 1, 1, 1, 1, 1, 1)
30	(23, 7)
31	(23, 6, 1)
32	(23, 5, 2)
33	(23, 5, 1, 1)
34	(23, 4, 3)
35	(23, 4, 2, 1)
36	(23, 4, 1, 1, 1)
37	(23, 3, 3, 1)
38	(23, 3, 2, 2)
39	(23, 3, 2, 1, 1)
40	(23, 3, 1, 1, 1, 1)
41	(23, 2, 2, 2, 1)
42	(23, 2, 2, 1, 1, 1)
43	(23, 2, 1, 1, 1, 1, 1)
44	(23, 1, 1, 1, 1, 1, 1, 1)
45	(22, 8)
46	(22, 7, 1)
47	(22, 6, 2)
48	(22, 6, 1, 1)
49	(22, 5, 3)
50	(22, 5, 2, 1)
51	(22, 5, 1, 1, 1)
52	(22, 4, 4)
53	(22, 4, 3, 1)
54	(22, 4, 2, 2)
55	(22, 4, 2, 1, 1)
56	(22, 4, 1, 1, 1, 1)
57	(22, 3, 3, 2)
58	(22, 3, 3, 1, 1)
59	(22, 3, 2, 2, 1)
60	(22, 3, 2, 1, 1, 1)
61	(22, 3, 1, 1, 1, 1, 1)
62	(22, 2, 2, 2, 2)
63	(22, 2, 2, 2, 1, 1)
64	(22, 2, 2, 1, 1, 1, 1)
65	(22, 2, 1, 1, 1, 1, 1, 1)
66	(22, 1, 1, 1, 1, 1, 1, 1, 1)
67	(21, 9)
68	(21, 8, 1)
69	(21, 7, 2)
70	(21, 7, 1, 1)
71	(21, 6, 3)
72	(21, 6, 2, 1)
73	(21, 6, 1, 1, 1)
74	(21, 5, 4)
75	(21, 5, 3, 1)
76	(21, 5, 2, 2)
77	(21, 5, 2, 1, 1)
78	(21, 5, 1, 1, 1, 1)
79	(21, 4, 4, 1)
80	(21, 4, 3, 2)
81	(21, 4, 3, 1, 1)
82	(21, 4, 2, 2, 1)
83	(21, 4, 2, 1, 1, 1)
84	(21, 4, 1, 1, 1, 1, 1)
85	(21, 3, 3, 3)
86	(21, 3, 3, 2, 1)
87	(21, 3, 3, 1, 1, 1)
88	(21, 3, 2, 2, 2)
89	(21, 3, 2, 2, 1, 1)
90	(21, 3, 2, 1, 1, 1, 1)
91	(21, 3, 1, 1, 1, 1, 1, 1)
92	(21, 2, 2, 2, 2, 1)
93	(21, 2, 2, 2, 1, 1, 1)
94	(21, 2, 2, 1, 1, 1, 1, 1)
95	(21, 2, 1, 1, 1, 1, 1, 1, 1)
96	(21, 1, 1, 1, 1, 1, 1, 1, 1, 1)
97	(20, 10)
98	(20, 9, 1)
99	(20, 8, 2)
100	(20, 8, 1, 1)
101	(20, 7, 3)
102	(20, 7, 2, 1)
103	(20, 7, 1, 1, 1)
104	(20, 6, 4)
105	(20, 6, 3, 1)
106	(20, 6, 2, 2)
107	(20, 6, 2, 1, 1)
108	(20, 6, 1, 1, 1, 1)
109	(20, 5, 5)
110	(20, 5, 4, 1)
111	(20, 5, 3, 2)
112	(20, 5, 3, 1, 1)
113	(20, 5, 2, 2, 1)
114	(20, 5, 2, 1, 1, 1)
115	(20, 5, 1, 1, 1, 1, 1)
116	(20, 4, 4, 2)
117	(20, 4, 4, 1, 1)
118	(20, 4, 3, 3)
119	(20, 4, 3, 2, 1)
120	(20, 4, 3, 1, 1, 1)
121	(20, 4, 2, 2, 2)
122	(20, 4, 2, 2, 1, 1)
123	(20, 4, 2, 1, 1, 1, 1)
124	(20, 4, 1, 1, 1, 1, 1, 1)
125	(20, 3, 3, 3, 1)
126	(20, 3, 3, 2, 2)
127	(20, 3, 3, 2, 1, 1)
128	(20, 3, 3, 1, 1, 1, 1)
129	(20, 3, 2, 2, 2, 1)
130	(20, 3, 2, 2, 1, 1, 1)
131	(20, 3, 2, 1, 1, 1, 1, 1)
132	(20, 3, 1, 1, 1, 1, 1, 1, 1)
133	(20, 2, 2, 2, 2, 2)
134	(20, 2, 2, 2, 2, 1, 1)
135	(20, 2, 2, 2, 1, 1, 1, 1)
136	(20, 2, 2, 1, 1, 1, 1, 1, 1)
137	(20, 2, 1, 1, 1, 1, 1, 1, 1, 1)
138	(20, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)
139	(19, 11)
140	(19, 10, 1)
141	(19, 9, 2)
142	(19, 9, 1, 1)
143	(19, 8, 3)
144	(19, 8, 2, 1)
145	(19, 8, 1, 1, 1)
146	(19, 7, 4)
147	(19, 7, 3, 1)
148	(19, 7, 2, 2)
149	(19, 7, 2, 1, 1)
150	(19, 7, 1, 1, 1, 1)
151	(19, 6, 5)
152	(19, 6, 4, 1)
153	(19, 6, 3, 2)
154	(19, 6, 3, 1, 1)
155	(19, 6, 2, 2, 1)
156	(19, 6, 2, 1, 1, 1)
157	(19, 6, 1, 1, 1, 1, 1)
158	(19, 5, 5, 1)
159	(19, 5, 4, 2)
160	(19, 5, 4, 1, 1)
161	(19, 5, 3, 3)
162	(19, 5, 3, 2, 1)
163	(19, 5, 3, 1, 1, 1)
164	(19, 5, 2, 2, 2)
165	(19, 5, 2, 2, 1, 1)
166	(19, 5, 2, 1, 1, 1, 1)
167	(19, 5, 1, 1, 1, 1, 1, 1)
168	(19, 4, 4, 3)
169	(19, 4, 4, 2, 1)
170	(19, 4, 4, 1, 1, 1)
171	(19, 4, 3, 3, 1)
172	(19, 4, 3, 2, 2)
173	(19, 4, 3, 2, 1, 1)
174	(19, 4, 3, 1, 1, 1, 1)
175	(19, 4, 2, 2, 2, 1)
176	(19, 4, 2, 2, 1, 1, 1)
177	(19, 4, 2, 1, 1, 1, 1, 1)
178	(19, 4, 1, 1, 1, 1, 1, 1, 1)
179	(19, 3, 3, 3, 2)
180	(19, 3, 3, 3, 1, 1)
181	(19, 3, 3, 2, 2, 1)
182	(19, 3, 3, 2, 1, 1, 1)
183	(19, 3, 3, 1, 1, 1, 1, 1)
184	(19, 3, 2, 2, 2, 2)
185	(19, 3, 2, 2, 2, 1, 1)
186	(19, 3, 2, 2, 1, 1, 1, 1)
187	(19, 3, 2, 1, 1, 1, 1, 1, 1)
188	(19, 3, 1, 1, 1, 1, 1, 1, 1, 1)
189	(19, 2, 2, 2, 2, 2, 1)
190	(19, 2, 2, 2, 2, 1, 1, 1)
191	(19, 2, 2, 2, 1, 1, 1, 1, 1)
192	(19, 2, 2, 1, 1, 1, 1, 1, 1, 1)
193	(19, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)
194	(19, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)
195	(18, 12)
196	(18, 11, 1)
197	(18, 10, 2)
198	(18, 10, 1, 1)
199	(18, 9, 3)
200	(18, 9, 2, 1)
201	(18, 9, 1, 1, 1)
202	(18, 8, 4)
203	(18, 8, 3, 1)
204	(18, 8, 2, 2)
205	(18, 8, 2, 1, 1)
206	(18, 8, 1, 1, 1, 1)
207	(18, 7, 5)
208	(18, 7, 4, 1)
209	(18, 7, 3, 2)
210	(18, 7, 3, 1, 1)
211	(18, 7, 2, 2, 1)
212	(18, 7, 2, 1, 1, 1)
213	(18, 7, 1, 1, 1, 1, 1)
214	(18, 6, 6)
215	(18, 6, 5, 1)
216	(18, 6, 4, 2)
217	(18, 6, 4, 1, 1)
218	(18, 6, 3, 3)
219	(18, 6, 3, 2, 1)
220	(18, 6, 3, 1, 1, 1)
221	(18, 6, 2, 2, 2)
222	(18, 6, 2, 2, 1, 1)
223	(18, 6, 2, 1, 1, 1, 1)
224	(18, 6, 1, 1, 1, 1, 1, 1)
225	(18, 5, 5, 2)
226	(18, 5, 5, 1, 1)
227	(18, 5, 4, 3)
228	(18, 5, 4, 2, 1)
229	(18, 5, 4, 1, 1, 1)
230	(18, 5, 3, 3, 1)
231	(18, 5, 3, 2, 2)
232	(18, 5, 3, 2, 1, 1)
233	(18, 5, 3, 1, 1, 1, 1)
234	(18, 5, 2, 2, 2, 1)
235	(18, 5, 2, 2, 1, 1, 1)
236	(18, 5, 2, 1, 1, 1, 1, 1)
237	(18, 5, 1, 1, 1, 1, 1, 1, 1)
238	(18, 4, 4, 4)
239	(18, 4, 4, 3, 1)
