k_index,K,mean_lyapunov,std_lyapunov,min_lyapunov,max_lyapunov,fraction_positive
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.000000
1,0.0024425989,0.0000815833,0.0000242884,-0.0000893400,0.0001935825,0.994019
2,0.0048851979,0.0000953731,0.0000235935,-0.0000524468,0.0002366993,0.996948
3,0.0073277968,0.0001027296,0.0000240864,-0.0000780869,0.0002461293,0.997314
4,0.0097703957,0.0001088567,0.0000231644,-0.0000576033,0.0002416837,0.998535
5,0.0122129946,0.0001121645,0.0000235156,-0.0000414328,0.0002589304,0.999146
6,0.0146555936,0.0001159326,0.0000240762,-0.0000737628,0.0002542539,0.998535
7,0.0170981925,0.0001192422,0.0000229758,-0.0000692560,0.0002309704,0.999023
8,0.0195407914,0.0001213813,0.0000243439,-0.0000927995,0.0002534975,0.998657
9,0.0219833903,0.0001235144,0.0000236138,-0.0000516276,0.0002822971,0.999023
10,0.0244259893,0.0001259211,0.0000231771,-0.0000313562,0.0002352093,0.999268
11,0.0268685882,0.0001279010,0.0000235216,-0.0000561355,0.0002862743,0.998901
12,0.0293111871,0.0001288421,0.0000236206,-0.0000479153,0.0002277152,0.998901
13,0.0317537860,0.0001306914,0.0000233848,-0.0000342994,0.0003028984,0.999390
14,0.0341963850,0.0001315578,0.0000236219,-0.0000420302,0.0002578375,0.999390
15,0.0366389839,0.0001329095,0.0000244604,-0.0000953977,0.0002511382,0.998413
16,0.0390815828,0.0001346628,0.0000239594,-0.0000481348,0.0002818599,0.999390
17,0.0415241817,0.0001357344,0.0000235267,-0.0000976782,0.0002640832,0.999390
18,0.0439667807,0.0001365787,0.0000231707,-0.0000541498,0.0002549739,0.999634
19,0.0464093796,0.0001372806,0.0000239268,-0.0000675400,0.0002383166,0.999146
20,0.0488519785,0.0001386099,0.0000241243,-0.0000571520,0.0002987355,0.999146
21,0.0512945774,0.0001396203,0.0000243222,-0.0001385636,0.0002871100,0.999512
22,0.0537371764,0.0001400073,0.0000240580,-0.0000337166,0.0002728555,0.999268
23,0.0561797753,0.0001408165,0.0000243295,-0.0000485765,0.0002702987,0.999390
24,0.0586223742,0.0001417595,0.0000238035,-0.0000385752,0.0002571774,0.999146
25,0.0610649731,0.0001422403,0.0000241228,-0.0000899791,0.0002610636,0.999634
26,0.0635075721,0.0001435993,0.0000237126,-0.0000221167,0.0002546622,0.999512
27,0.0659501710,0.0001438217,0.0000237928,-0.0000011070,0.0002993663,0.999878
28,0.0683927699,0.0001447329,0.0000236250,-0.0000277771,0.0002666451,0.999878
29,0.0708353688,0.0001451129,0.0000240806,-0.0000105217,0.0002809241,0.999878
30,0.0732779678,0.0001460060,0.0000238371,-0.0000514782,0.0002941142,0.999756
31,0.0757205667,0.0001460622,0.0000242617,-0.0000251207,0.0002678898,0.999634
32,0.0781631656,0.0001472239,0.0000240451,-0.0000559614,0.0002804626,0.999634
33,0.0806057645,0.0001475361,0.0000237623,-0.0000329548,0.0002622699,0.999634
34,0.0830483635,0.0001483537,0.0000242296,-0.0000590227,0.0002496199,0.999756
35,0.0854909624,0.0001487291,0.0000240239,-0.0000298010,0.0002842110,0.999512
36,0.0879335613,0.0001492936,0.0000241441,-0.0000324615,0.0003062630,0.999634
37,0.0903761602,0.0001499222,0.0000237507,-0.0000604391,0.0002740811,0.999634
38,0.0928187592,0.0001502220,0.0000250281,-0.0000347060,0.0002679461,0.999390
39,0.0952613581,0.0001502587,0.0000247024,-0.0000419796,0.0002734263,0.999146
40,0.0977039570,0.0001510160,0.0000245604,-0.0000132265,0.0002992563,0.999512
41,0.1001465559,0.0001512360,0.0000248420,-0.0000447902,0.0002673733,0.999146
42,0.1025891549,0.0001521532,0.0000239385,-0.0000169478,0.0002931470,0.999756
43,0.1050317538,0.0001520936,0.0000247483,-0.0000745445,0.0002927441,0.999268
